id,host_id,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
447142,1351134,2011-10-30,"İstanbul, Turkey",,,18%,f,5.0,19.0,"['email', 'phone']",t,f,Fatih,41.010094270688185,28.946701522232388,Private room in rental unit,Private room,2,0.0,0 shared baths,1.0,3.0,"[""Stove"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Wifi"", ""Oven"", ""Portable fans"", ""TV"", ""Lock on bedroom door"", ""Iron"", ""Microwave"", ""Paid washer \u2013 In unit"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",722.0,100,200,100.0,100.0,200.0,200.0,100.0,200.0,t,30,60,90,180,2025-03-27,27,0,0,180,1,0,0.0,2012-07-27,2024-03-01,4.21,4.41,4.26,4.7,4.85,4.48,4.63,,f,5,0,5,0,0.18
484153,2395401,2012-05-17,"Istanbul, Turkey",within a day,100%,0%,f,1.0,3.0,"['email', 'phone']",t,t,Sisli,41.04461,28.98187,Private room in townhouse,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Washer"", ""Fire extinguisher"", ""Kitchen"", ""Host greets you"", ""Heating"", ""Lock on bedroom door"", ""Essentials"", ""Hot water"", ""Wifi"", ""Private entrance"", ""Hair dryer""]",612.0,100,300,100.0,100.0,300.0,300.0,100.0,300.0,t,1,1,1,1,2025-03-28,2,0,0,0,0,0,0.0,2016-01-11,2018-04-16,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0,0.02
516720,2544222,2012-06-04,"Istanbul, Turkey",within a day,100%,0%,f,1.0,1.0,"['email', 'phone']",t,t,Sisli,41.06193,28.98508,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,"[""Washer"", ""Kitchen"", ""TV with standard cable"", ""Shampoo"", ""Smoking allowed"", ""Heating"", ""Essentials"", ""Wifi""]",566.0,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,t,0,0,0,117,2025-03-27,40,0,0,93,0,0,0.0,2012-06-21,2015-01-02,4.76,4.58,4.05,4.82,4.95,4.68,4.76,,f,1,0,1,0,0.26
1011850,466302,2011-03-27,"Istanbul, Turkey",within a few hours,100%,67%,f,11.0,24.0,"['email', 'phone']",t,t,Sisli,41.04968,28.98534,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Washer"", ""Paid parking on premises"", ""Elevator"", ""Kitchen"", ""Host greets you"", ""Dishes and silverware"", ""Bed linens"", ""Smoking allowed"", ""Heating"", ""Lock on bedroom door"", ""Dedicated workspace"", ""Essentials"", ""Hot water"", ""Refrigerator"", ""Wifi"", ""Extra pillows and blankets"", ""Resort access""]",677.0,100,500,100.0,100.0,500.0,500.0,100.0,500.0,t,30,60,90,365,2025-03-27,11,0,0,280,1,0,0.0,2013-04-02,2024-01-20,4.44,4.36,4.2,4.64,4.64,4.73,4.27,,f,10,6,4,0,0.08
1054647,466302,2011-03-27,"Istanbul, Turkey",within a few hours,100%,67%,f,11.0,24.0,"['email', 'phone']",t,t,Sisli,41.04912,28.98654,Private room in rental unit,Private room,1,1.0,1 shared bath,2.0,1.0,"[""Free street parking"", ""Cooking basics"", ""Hot water"", ""Dishes and silverware"", ""Washer"", ""Hangers"", ""Elevator"", ""Heating"", ""Baking sheet"", ""Long term stays allowed"", ""Essentials"", ""Wifi"", ""Private entrance"", ""Extra pillows and blankets"", ""Oven"", ""Portable fans"", ""Smoking allowed"", ""Dishwasher"", ""Hair dryer"", ""Iron"", ""Paid parking off premises"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",555.0,100,400,100.0,100.0,400.0,400.0,100.0,400.0,t,0,24,54,329,2025-03-27,3,0,0,244,0,0,0.0,2013-08-21,2021-09-04,4.67,4.0,5.0,5.0,5.0,4.67,4.67,,f,10,6,4,0,0.02
1131124,2781217,2012-06-29,"Istanbul, Turkey",within an hour,100%,100%,t,6.0,6.0,"['email', 'phone']",t,t,Beyoglu,41.03685,28.97702,Private room in townhouse,Private room,2,0.0,0 shared baths,1.0,0.0,"[""Washer"", ""Free street parking"", ""Cooking basics"", ""Host greets you"", ""Pets allowed"", ""Lock on bedroom door"", ""Essentials"", ""Hot water"", ""Dishes and silverware"", ""Wifi"", ""Hair dryer""]",984.0,3,1125,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,19,35,58,320,2025-03-28,93,14,1,234,12,84,82656.0,2013-06-14,2025-02-27,4.77,4.8,4.68,4.88,4.89,4.76,4.78,34-981,f,6,1,5,0,0.65
1192463,466302,2011-03-27,"Istanbul, Turkey",within a few hours,100%,67%,f,11.0,24.0,"['email', 'phone']",t,t,Sisli,41.04913,28.98618,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Paid parking on premises"", ""Cooking basics"", ""Free washer \u2013 In unit"", ""Dedicated workspace"", ""Hot water"", ""Dishes and silverware"", ""Hangers"", ""Elevator"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""City skyline view"", ""Wifi"", ""Extra pillows and blankets"", ""Oven"", ""Smoking allowed"", ""Lock on bedroom door"", ""Dishwasher"", ""Hair dryer"", ""Iron"", ""Window AC unit"", ""Kitchen"", ""Host greets you"", ""Bed linens"", ""Refrigerator""]",559.0,100,365,100.0,100.0,365.0,365.0,100.0,365.0,t,25,55,85,360,2025-03-27,3,0,0,275,0,0,0.0,2022-03-02,2023-08-31,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,10,6,4,0,0.08
1213061,1329054,2011-10-24,"Istanbul, Turkey",within an hour,86%,100%,f,2.0,2.0,"['email', 'phone']",t,t,Sisli,41.05015,28.989,Private room in rental unit,Private room,1,1.5,1.5 shared baths,1.0,1.0,"[""Wine glasses"", ""Cooking basics"", ""Stove"", ""Dedicated workspace"", ""Hot water"", ""Dishes and silverware"", ""Shower gel"", ""Body soap"", ""Hangers"", ""Garden view"", ""Cleaning products"", ""Dining table"", ""Cleaning available during stay"", ""Shampoo"", ""Heating"", ""Baking sheet"", ""Long term stays allowed"", ""Private patio or balcony"", ""Essentials"", ""Hot water kettle"", ""Blender"", ""Wifi"", ""Extra pillows and blankets"", ""Oven"", ""Conditioner"", ""TV"", ""Lock on bedroom door"", ""Dishwasher"", ""Sun loungers"", ""Freezer"", ""Hair dryer"", ""Shared hot tub"", ""First aid kit"", ""Iron"", ""Microwave"", ""Coffee"", ""Toaster"", ""Kitchen"", ""Host greets you"", ""Bathtub"", ""Bed linens"", ""Clothing storage: closet"", ""Washer \u2013\u00a0In unit"", ""Coffee maker"", ""Refrigerator"", ""Hammock""]",922.0,101,300,101.0,101.0,300.0,300.0,101.0,300.0,t,0,0,0,267,2025-03-27,26,0,0,182,1,0,0.0,2016-12-10,2024-03-08,4.58,4.5,4.77,4.85,4.77,4.88,4.65,,f,2,0,2,0,0.26
1925646,666066,2011-06-05,"İstanbul, Turkey",within a few hours,100%,100%,t,8.0,38.0,"['email', 'phone']",t,t,Beyoglu,41.0297,28.97707,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Wifi \u2013 45 Mbps"", ""Lockbox"", ""Fire extinguisher"", ""Cooking basics"", ""Stove"", ""TV with standard cable"", ""Free washer \u2013 In unit"", ""Hot water"", ""Dishes and silverware"", ""Self check-in"", ""Hangers"", ""Elevator"", ""Shampoo"", ""Heating"", ""Long term stays allowed"", ""Essentials"", ""Extra pillows and blankets"", ""Private entrance"", ""Luggage dropoff allowed"", ""Oven"", ""AC - split type ductless system"", ""Smoking allowed"", ""Lock on bedroom door"", ""Dishwasher"", ""Hair dryer"", ""First aid kit"", ""Iron"", ""Paid parking off premises"", ""Kitchen"", ""Bed linens"", ""Ethernet connection"", ""Coffee maker"", ""Refrigerator""]",656.0,100,365,100.0,100.0,365.0,365.0,100.0,365.0,t,0,0,0,0,2025-03-29,11,0,0,0,0,0,0.0,2014-08-02,2021-08-29,4.91,4.64,4.64,5.0,5.0,5.0,4.91,,f,8,4,4,0,0.08
1978880,9068696,2013-09-26,"Istanbul Province, Turkey",,,,f,1.0,3.0,"['email', 'phone']",t,t,Sisli,41.06402,28.97145,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,"[""Washer"", ""Dryer"", ""Hangers"", ""Iron"", ""Elevator"", ""Kitchen"", ""Shampoo"", ""Smoking allowed"", ""Heating"", ""Essentials"", ""Wifi"", ""Hair dryer""]",918.0,100,1125,100.0,100.0,1125.0,1125.0,100.0,1125.0,t,30,60,90,365,2025-03-27,0,0,0,280,0,0,0.0,,,,,,,,,,,f,1,0,1,0,
